Name,PuntV,LeagV,Punt+,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
Max Strus,-0.632246306,-0.423578695,-0.208667611,MIA,SG/SF,80,28.39875,11.5375,2.4625,3.225,2.1375,0.525,0.15,0.410126582,9.875,0.876404494,1.1125,0.875
Coby White,-0.614959523,-0.425062803,-0.18989672,CHI,PG/SG,74,23.3768018,9.662162162,1.72972973,2.864864865,2.756756757,0.72972973,0.081081081,0.442760943,8.027027027,0.871428571,0.945945946,1
Keita Bates-Diop,-0.64472251,-0.429387268,-0.215335242,SAS,PF,67,21.67835821,9.656716418,0.835820896,3.701492537,1.537313433,0.686567164,0.298507463,0.507526882,6.940298507,0.793333333,2.23880597,0.835820896
Jordan Goodwin,-0.63622725,-0.433096393,-0.203130857,WAS,PG,62,17.84623656,6.564516129,0.612903226,3.306451613,2.709677419,0.935483871,0.419354839,0.447592068,5.693548387,0.768115942,1.112903226,0.919354839
Gary Payton II,-0.665542359,-0.433261388,-0.232280971,GSW,PG/SG,22,16.70984848,4.590909091,0.590909091,3.136363636,1.363636364,1,0.227272727,0.594202899,3.136363636,0.857142857,0.318181818,0.727272727
Paolo Banchero,-0.357509393,-0.43586464,0.078355247,ORL,SF/PF,72,33.74652778,19.95833333,1.180555556,6.902777778,3.736111111,0.833333333,0.541666667,0.426916221,15.58333333,0.737827715,7.416666667,2.777777778
Troy Brown Jr,-0.681219292,-0.436070511,-0.245148781,LAL,SF/PF,76,24.46885965,7.118421053,1.407894737,4.052631579,1.25,0.776315789,0.210526316,0.430107527,6.118421053,0.871794872,0.513157895,0.644736842
Isaiah Joe,-0.698979384,-0.436963051,-0.262016334,OKC,PG/SG,73,19.11210046,9.465753425,2.205479452,2.397260274,1.205479452,0.657534247,0.109589041,0.440944882,6.95890411,0.82,1.369863014,0.534246575
Andrew Nembhard,-0.527185737,-0.438706407,-0.08847933,IND,PG/SG,75,27.64622222,9.453333333,1.226666667,2.653333333,4.546666667,0.933333333,0.173333333,0.440993789,8.586666667,0.790322581,0.826666667,1.68
Jonathan Isaac,-0.72784541,-0.439623297,-0.288222114,ORL,SF/PF,11,11.27424242,5,0.545454545,4,0.545454545,1.272727273,0.363636364,0.41509434,4.818181818,0.555555556,0.818181818,0.363636364
Jalen Smith,-0.629233342,-0.445680118,-0.183553224,IND,PF/C,68,18.80588235,9.441176471,0.794117647,5.794117647,0.970588235,0.308823529,0.882352941,0.476377953,7.470588235,0.759124088,2.014705882,1.058823529
