,Name,PuntV,LeagV,g,m/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
92,Tre Jones,-0.173785109,-0.116167271,68,29.17156863,12.86764706,6.588235294,0.661764706,3.602941176,1.308823529,0.132352941,0.19451798674463291,-0.18297134098272533,-1.617647059
93,Draymond Green,0.002003565,-0.118554511,73,31.47237443,8.452054795,6.849315068,0.547945205,7.191780822,1.01369863,0.821917808,-0.1044488610882186,0.3358923943831094,-2.794520548
94,Terry Rozier,-0.099235954,-0.118560551,63,35.2537037,21.0952381,5.063492063,2.619047619,4.111111111,1.174603175,0.253968254,0.08914627985084683,-1.1448686556642724,-2.126984127
95,PJ Washington,-0.1947106,-0.119832049,73,32.59680365,15.67123288,2.397260274,2.04109589,4.904109589,0.904109589,1.082191781,-0.1279438664358008,-0.4278162626745192,-1.506849315
96,Mike Conley,-0.194535307,-0.12378283,67,30.27313433,11.91044776,6.71641791,2.014925373,2.71641791,1.089552239,0.208955224,0.12802852503748663,-0.43544025799762526,-1.537313433
97,Anfernee Simons,-0.121691487,-0.13010027,62,35.00994624,21.06451613,4.080645161,3.419354839,2.596774194,0.677419355,0.225806452,0.31842394551357067,-0.4855195523229845,-2.064516129
98,John Collins,-0.272937609,-0.13623218,71,29.99530516,13.11267606,1.197183099,0.985915493,6.507042254,0.591549296,1.028169014,0.04965982105593696,0.31947888387005013,-1.112676056
99,Herb Jones,-0.249537132,-0.145176599,66,29.55353535,9.833333333,2.454545455,0.848484848,4.075757576,1.560606061,0.636363636,-0.0477816315443788,-0.050358248273589964,-1.333333333
100,Giannis Antetokounmpo,0.13048446,-0.154011025,63,32.11931217,31.0952381,5.698412698,0.746031746,11.77777778,0.825396825,0.80952381,-1.6969900104789841,1.5723911803691413,-3.904761905
101,Wendell Carter Jr.,-0.181347966,-0.155511954,57,29.64181287,15.22807018,2.315789474,1.403508772,8.719298246,0.526315789,0.578947368,-0.1542932988955796,0.533305528829362,-1.859649123
102,Franz Wagner,-0.150091655,-0.158443115,80,32.60895833,18.5625,3.5375,1.625,4.1125,0.9625,0.2125,0.23366030973904292,0.12714983631524077,-2.0875
